Year,pCO2,pCH4,pN2O,SST
1942,312.3719084,,,0.04635
1943,,,,0.04031
1944,312.3616402,,,0.19544
1945,310.9383985,1128.83,287.8,0.19232
1946,312.2634107,,,-0.0779
1947,311.6146312,,,-0.14807
1948,311.57095,,,-0.13325
1949,309.6939936,,,-0.10949
1950,312.8310311,1161.73,289,-0.12455
1951,,,,-0.02012
1952,312.1844627,,,0.06937
1953,,,,0.07613
1954,312.7313872,,,-0.11056
1955,314.7139613,1207.03,290.1,-0.18698
1956,315.3420739,,,-0.20024
1957,315.3442642,,,0.00168
1958,315.301,,,0.02431
1959,315.9758333,,,-0.02973
1960,316.905,1262.97,291.4,-0.07483
1961,317.6383333,,,-0.02732
1962,318.4483333,,,-0.08224
1963,318.9858333,,,-0.03526
1964,319.6125,,,-0.24036
1965,320.03,1328.47,292.9,-0.20315
1966,321.3625,,,-0.09263
1967,322.1741667,,,-0.15086
1968,323.0466667,,,-0.15229
1969,324.6158333,,,0.01328
1970,325.6758333,1403.19,294.9,-0.09424
1971,326.3141667,,,-0.25558
1972,327.4541667,,,-0.02319
1973,329.675,,,0.01075
1974,330.2425,,,-0.14716
1975,331.155,1483.57,297.4,-0.15448
1976,332.16,,,-0.13235
1977,333.9041667,,,0.07836
1978,335.5091667,1532.77,298.82,0.02786
1979,336.8566667,1549.53,300.04,0.14543
1980,338.6966667,1566.28,300.65,0.14203
1981,339.9466667,1583.48,301.23,0.11512
1982,341.145,1600.69,303.56,0.09825
1983,342.7891667,1636.555,303.78,0.1946
1984,344.495,1644.855,304.02,0.06038
1985,345.8858333,1657.369167,304.54,0.04476
1986,347.1258333,1670.204167,305.37,0.0739
1987,348.8508333,1682.809167,305.55,0.23264
1988,351.2375,1693.22,306.49,0.20845
1989,352.7,1704.636667,307.48,0.16803
1990,353.9858333,1714.521667,308.78,0.29425
1991,355.3866667,1725.000833,309.57,0.27296
1992,356.1708333,1735.493333,310,0.17579
1993,356.8391667,1736.550833,310.25,0.20568
1994,358.7075,1742.145833,310.98,0.24524
1995,360.7225,1748.844167,311.78,0.30009
1996,362.5066667,1751.323333,312.81,0.23714
1997,363.6416667,1754.6175,313.53,0.42091
1998,366.5183333,1765.669167,314.2,0.51006
1999,368.2091667,1772.435,315.15,0.27619
2000,369.3825,1773.24,316.14,0.28053
2001,370.9325,1771.231667,316.3658333,0.39199
2002,373.0158333,1772.716667,316.9425,0.43434
2003,375.5658333,1777.334167,317.6316667,0.45946
2004,377.3033333,1777.004167,318.2616667,0.4376
2005,379.56,1774.165833,318.92,0.44789
2006,381.7666667,1774.984167,319.8233333,0.42388
2007,383.5575,1781.4725,320.4541667,0.35835
2008,385.4166667,1787.083333,321.5066667,0.33213
2009,387.3375,1793.555833,322.2816667,0.4801
2010,389.9091667,1798.958333,323.1975,0.48557
2011,391.6883333,1803.191667,324.2133333,0.37851
2012,393.9433333,1808.104167,325.0591667,0.44911
2013,396.645,1813.484167,325.9491667,0.47344
2014,398.6983333,1822.741667,327.0941667,0.57639
2015,400.8608333,1834.3425,328.1775,0.70045
2016,404.205,1843.180833,328.9508333,0.71945
2017,406.5091667,1849.726667,329.7458333,0.64483
2018,408.5208333,1857.420833,330.9141667,0.61641
2019,411.4175,1866.668333,331.8866667,0.71702
2020,413.9441667,1879.099167,333.0383333,0.70991
2021,416.1083333,1895.463333,334.3225,0.63219
2022,417.978,1907.6675,335.455,
